Throttle,Thrust,Velocity,Current
0,0,0,0.18
5,15,230,0.32
10,34,340,0.45
15,56,430,0.65
20,77,500,0.85
25,97,550,1.05
30,117,600,1.30
35,140,660,1.60
40,159,715,1.85
45,176,740,2.10
50,190,770,2.35
55,207,800,2.60
60,218,825,2.80
65,230,855,3.10
70,244,890,3.30
75,270,920,3.70
80,280,945,4.20
85,310,980,4.55
90,327,1000,5.10
95,347,1040,5.70
100,354,1065,6.20
0,6,0,0.18
5,16,210,0.31
10,31,305,0.42
15,50,395,0.60
20,68,470,0.75
25,85,515,0.95
30,102,560,1.15
35,120,605,1.45
40,136,655,1.65
45,153,690,1.95
50,170,720,2.15
55,185,760,2.40
60,201,795,2.65
65,214,810,2.95
70,233,855,3.20
75,252,890,3.60
80,275,925,4.10
85,295,970,6.40
90,320,1000,5.15
95,355,1050,5.75
100,400,1090,6.30
0,3,0,0.18
5,16,215,0.31
10,33,310,0.45
15,54,405,0.65
20,71,460,0.80
25,90,525,1.00
30,108,575,1.25
35,128,630,1.50
40,147,675,1.70
45,165,715,2.05
50,182,750,2.30
55,201,780,2.55
60,210,825,2.90
65,231,845,3.10
70,247,881,3.45
75,270,913,3.82
80,292,975,4.35
85,320,1005,4.95
90,345,1030,5.55
95,375,1080,6.20
100,428,1150,6.75
0,0,0,0.18
5,16,241,0.32
10,35,335,0.46
15,58,430,0.66
20,78,500,0.85
25,97,565,1.05
30,118,615,1.30
35,140,660,1.50
40,156,705,1.80
45,172,735,2.10
50,187,766,2.35
55,199,792,2.55
60,214,820,2.75
65,224,845,3.00
70,235,855,3.25
75,250,885,3.45
80,260,915,3.75
85,276,925,4.10
90,293,955,4.55
95,305,995,5.05
100,321,1015,5.45
